state_name,state_name:mm,state_pcode,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
Kachin State,ကချင်ပြည်နယ်,MMR001,5.55,6.05,7.35,8.06,6.35,5.66,6.54,5.34,6.27,4.44
Kayar State,ကယားပြည်နယ်,MMR002,6.25,5.56,7.5,8.27,7.34,3.91,6.07,5.97,6.12,5.2
Kayin State,ကရင်ပြည်နယ်,MMR003,6.94,7.03,7.66,8.41,6.58,4.89,6.22,5.12,5.82,5.16
Chin State,ချင်းပြည်နယ်,MMR004,6.74,5.73,6.68,4.12,5.76,3.63,5.43,6.12,5.84,4.31
Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,7.08,6.87,7.18,6.95,6.19,3.35,5.51,5.97,5.79,5.31
Tanintharyi Region,တနင်္သာရီတိုင်းဒေသကြီး,MMR006,5.79,7.95,6.78,8.77,6.23,3.85,6.76,5.65,6.49,5.49
Bago Region,ပဲခူးတိုင်းဒေသကြီး,MMR111,5.16,7.57,7.19,7.18,5.82,4.44,6.14,5.58,6.21,5.41
Magway Region,မကွေးတိုင်းဒေသကြီး,MMR009,6.98,6.51,7.62,8.29,6.22,4.03,6.62,5.31,6.01,4.95
Mandalay Region,မန္တလေးတိုင်းဒေသကြီး,MMR010,6.36,6.36,7.25,7.67,7.13,3.8,5.98,5.63,6.36,4.75
Mon State,မွန်ပြည်နယ်,MMR011,4.74,6.89,7.21,7.13,6.74,4.93,6.34,5.5,6.97,5.07
Rakhine State,ရခိုင်ပြည်နယ်,MMR012,6.05,7.04,6.94,7.85,5.03,5.02,5.85,4.14,6.15,4.82
Yangon Region,ရန်ကုန်ဒေသကြီး,MMR013,5.46,6.88,7.28,7.14,7.08,4.16,6.04,5.88,7.63,4.72
Shan State,ရှမ်းပြည်နယ်,MMR222,6.86,6.85,7.51,7.67,6.49,5.28,6.75,5.12,5.39,5.24
Ayawaddy Region,ဧရာဝတီတိုင်းဒေသကြီး,MMR017,6.36,7.91,6.87,5.86,5.31,3.89,6.04,4.9,6.37,5.02
Nay Pyi Taw,နေပြည်တော်,MMR018,5.88,5.92,7.62,6.16,6.59,4.19,5.93,5.81,6.43,5.04
