township_name,township_name:mm,township_pcode,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
Mohnyin,မိုးညှင်း,MMR001009,6.80711412,7.99265242,8.06469822,5.91451931,4.98057604,6.50672007,5.98667717,6.05657339,4.84333324
Myintkyina,မြစ်ကြီးနား,MMR001003,5.19176483,7.08736038,7.94702291,6.41360188,5.88845634,6.47019386,6.10392857,6.35407114,4.3291893
Bhamo,ဗန်းမော်,MMR001012,5.73714352,8.26930618,8.69528675,6.40342045,5.30772829,6.65815639,5.75924158,6.01567554,4.59411764
Demoso,ဒီမောဆို,MMR002002,5.93726397,6.30765724,7.75302649,5.65416908,6.93331289,6.47403145,6.2295723,6.51726532,4.18000031
Hpruso,ဖရူဆို,MMR002003,4.47189665,5.11439562,9.77802658,4.43023491,4.35522747,6.49980545,6.38928223,4.96630049,4.47189665
Loikaw,လွိုင်ကော်,MMR002001,6.25652456,7.53373384,8.2566433,7.41687918,3.89855266,6.065207,6.82041454,6.14645243,5.24085093
Hpa-an,ဘားအံ,MMR003001,7.16535044,7.44024754,8.5054884,6.38988543,5.1517086,5.98116159,5.97266531,5.78932142,5.37538481
Hpapun,ဖာပွန်,MMR003003,6.83992338,7.61365509,8.65114403,4.63035059,4.89251661,6.52327967,5.20742846,5.80919456,5.07999992
Myawaddy,မြဝတီ,MMR003005,6.79840612,7.91276693,8.15335369,7.38622141,4.59790754,6.40442371,5.74619198,5.87963486,4.92877054
Falam,ဖလမ်း,MMR004001,6.15668249,6.02592516,4.11999989,5.83505964,3.81056833,5.3889904,5.93681526,6.24215078,3.91000009
Hkaha,ဟားခါး,MMR004002,7.95074177,7.30698824,4.19500017,5.93306637,3.34356523,5.59410334,6.09852934,5.28172398,5.07250023
Debayin,ဒီပဲယင်း,MMR005010,6.86502504,7.28720856,7.65574312,4.71874809,3.09925985,4.78073311,5.5742569,5.66305351,5.64249992
Monywa,မုံရွာ,MMR005012,7.34689093,6.46271276,7.00953913,6.78754616,3.6194129,5.76245213,6.55248356,6.05339432,5.46091747
Tant Sal,တန့်ဆည်,MMR005011,6.57075787,7.11089706,6.68074322,5.19700384,3.38178635,5.43771744,6.64359093,5.2987771,4.98999977
Shwebo,ရွှေဘို,MMR005004,7.0233283,7.88794136,6.98925924,5.8156004,2.93773103,5.23568583,6.44672775,5.88176346,5.18934584
Dawei,ထားဝယ်,MMR006001,5.96470499,6.53844213,8.61999989,6.30003929,4.77534246,6.60601521,6.46919918,6.17296124,5.21500015
Kawt Thaung,ကော့သောင်း,MMR006009,5.93602562,6.94406414,9.00625038,6.33244324,3.63797498,6.85197306,6.37230349,6.5418849,5.62468719
Myeik,မြိတ်,MMR006005,6.5640707,6.44271469,7.30000019,5.06507492,3.2040503,6.55853891,7.00191116,6.21270943,5.704
Bago,ပဲခူး,MMR007001,4.74717474,6.54219866,6.42835283,6.43928194,3.9231596,6.03640079,6.06103611,5.60073805,4.70714283
Okktwin,အုတ်တွင်း,MMR007013,5.41229582,7.53738928,6.78077269,5.53587484,4.22843218,6.03088856,6.38278532,6.23825073,6.04610157
Phyu,ဖြူး,MMR007012,5.32240295,7.18387651,8.59803772,5.36053753,5.33797073,6.51086712,6.63258553,6.75124121,5.1352272
Magway,မကွေး,MMR009001,5.47307205,7.34162426,7.75576067,6.0411272,3.97894025,6.1207037,6.26392603,6.36777925,4.39933348
Pakokeku,ပခုက္ကူ,MMR009018,7.61075497,7.74648714,8.45500851,6.29844475,4.02596092,6.81409407,5.88359737,5.89770842,5.18632746
Taung Gwin Gyi,တောင်တွင်းကြီး,MMR009004,4.96776295,7.49544239,5.30076075,6.20714235,3.22673535,6.51021433,6.38509417,7.07955074,4.5
Chan Mya Tharzi,ချမ်းမြသာစည်,MMR010004,5.62432289,7.06714964,7.67547941,7.95460653,3.7789073,5.97486877,6.46870899,6.62535143,4.51119566
Myinchan,မြင်းခြံ,MMR010017,7.3390789,7.38217402,7.57747316,5.94224215,3.74240685,5.94875002,5.65933418,5.87880373,5.00542068
Pyinoolwin,ပြင်ဦးလွင်,MMR010008,6.30704594,7.34465647,7.88747597,7.49172449,3.91697788,6.00432682,6.78900671,6.72053957,4.76175451
Kyauk Padaung,ကျောက်ပန်းတောင်း,MMR010020,6.34453773,7.7033124,7.54537058,5.81396723,3.70367622,6.50762987,6.00637722,5.25448561,5.69199991
Mawlamyaing,မော်လမြိုင်,MMR011001,5.76924038,7.3138628,7.54860544,7.79844427,4.78868055,6.18399858,6.58231068,7.40298176,4.79172421
Paung,ပေါင်,MMR011008,5.67709684,6.96089649,7.6955018,6.72510529,4.38175774,6.06589985,6.11916876,6.48658705,5.97600031
Ye,ရေး,MMR011006,4.05269575,7.16516638,6.83281279,6.01477718,5.04445076,6.46265697,5.86960697,6.7760725,5.16142845
Kyauk Taw,ကျောက်တော်,MMR012004,4.5117774,6.70501661,8.26069832,4.06149626,3.94686794,5.92606878,3.24943399,5.54652691,4.40156651
Sittwe,စစ်တွေ,MMR012001,7.30394077,7.31506157,7.67808914,6.07210112,5.01018429,5.76013041,5.47321558,6.12081528,5.51116276
Myauk U,မြောက်ဦး,MMR012003,5.83924389,6.84334135,8.12952232,4.11708689,3.55389023,5.97992468,3.10975623,5.20937824,4.64216232
Taikkyi,တိုက်ကြီး,MMR013005,5.80586433,7.5336237,7.75818443,6.19616508,4.24271441,6.20385742,6.15867329,7.65157318,5.76000023
Pazuntaung,ပုဇွန်တောင်,MMR013016,5.54874516,7.199296,7.18068457,8.24421978,3.77052903,6.87842417,6.66869402,8.45427418,4.84326077
Hlaing Tharyar,လှိုင်သာယာ,MMR013008,5.40660477,7.3585763,7.13457155,6.423841,4.18838835,5.69499111,5.94264889,7.39919186,4.64155483
Bahan,ဗဟန်း,MMR013044,4.82493448,7.39403582,6.750144,8.56723404,4.09070778,6.15560961,6.58222198,7.95690632,4.17189169
South Dagon,ဒဂုံမြို့သစ်တောင်ပိုင်း,MMR013018,4.49343872,7.0968132,7.1913209,6.99436617,4.16833973,5.67727947,6.00391579,7.57161045,4.31609106
North Okkalapa,မြောက်ဥက္ကလာပ,MMR013012,7.41853619,7.13654423,7.751719,7.511199,4.22863436,5.72173262,6.6132493,7.63539934,5.87862062
Kengtung,ကျိုင်းတုံ,MMR016001,6.56803608,7.69452524,8.18038559,5.73078012,4.87429476,5.9492631,6.11626816,3.90516686,5.30666685
Lashio,လားရှိုး,MMR015001,7.34267044,7.82830334,7.97748518,6.60317039,5.63960552,6.73833132,5.81673813,5.70565462,5.49320221
Muse,မူဆယ်,MMR015009,6.9556694,7.19210863,7.65481138,6.99329233,4.40773106,6.3612318,6.36589193,6.17333603,5.2481966
Kunlong,ကွမ်းလုံ,MMR015020,6.55997992,8.27571678,7.14538527,6.46304226,4.26761293,6.74281406,3.8635571,3.53397965,4.70833349
Taunggyi,တောင်ကြီး,MMR014001,5.89116287,6.87985945,7.78309727,6.68232679,5.35719872,6.08727217,6.34642029,5.59668779,5.46440649
Theinni,သိန်းနီ,MMR015002,6.9819603,8.18187332,8.37038517,6.16487169,6.3969512,6.23359203,6.05972958,4.51669788,5.70470572
Maubin,မအူပင်,MMR017019,5.94716501,7.68822384,4.9312191,4.29091978,3.90259767,6.24281359,4.84243584,6.85232115,5.48540545
Wakema,ဝါးခယ်မ,MMR017017,3.50680876,6.55738497,6.96716499,4.83121109,3.63153386,5.97974634,5.19611216,7.14406919,4.29320192
Hinthada,ဟင်္သာတ,MMR017008,6.66666222,6.0323844,5.84575844,5.95716858,3.712044,5.20955086,6.4195118,6.28860521,4.44795465
Pathein,ပုသိမ်,MMR017001,6.12868452,6.82393265,5.54524517,6.21526766,5.26345968,5.23596811,5.66541243,6.26671076,4.05628872
Pyapone,ဖျာပုံ,MMR017023,6.8399992,6.15876818,6.16920233,5.02940559,3.11303234,6.3633585,4.48409462,6.28912973,4.53153849
Lewe,လယ်ဝေး,MMR018007,3.8054831,7.6150198,6.17599201,5.63518429,4.50042915,5.91230106,6.73203611,6.39785004,3.8054831
Poppa Thiri,ပုဗ္ဗသီရိ,MMR018005,5.28338575,7.25146198,5.6863966,6.5710187,4.46563339,5.87918901,6.9081893,6.12449551,5.07615376
Pyinmana,ပျဉ်းမနား,MMR018006,6.07044601,7.67262697,6.28101683,6.91869259,3.98086739,5.94338942,6.35613537,6.53592777,4.96630573
Tedim,တီးတိန်,MMR004004,5.2713871,5.54098177,3.16000009,3.57905746,4.6128211,4.91036749,6.6312952,5.45265722,4.1500001
Taunggoke,တောင်ကုတ်,MMR012016,5.99268818,7.07362509,7.43591881,5.13719606,5.57703257,5.75897121,5.02945328,6.75103426,4.56481504
Latha,လသာ,MMR013036,6.23951483,7.00177431,7.28354168,8.04781246,3.92210531,7.32516432,6.44536018,7.85652733,5.47771454
Dagon Seikkan,ဒဂုံမြို့သစ်ဆိပ်ကမ်း,MMR013021,6.69211197,7.89689016,7.22439909,6.16305208,4.05936432,6.00650167,6.26508904,6.98280573,5.41171408
Lanmataw,လမ်းမတော်,MMR013035,6.33293104,7.30792618,7.0182457,8.56915569,4.5093832,7.59423494,6.71798992,7.72446489,5.50439024
Naung Cho,နောင်ချို,MMR015013,4.95939827,7.16928148,8.40609932,5.57747412,4.95104027,8.27525043,5.44963932,5.81942797,4.45904779
Momit,မိုးမိတ်,MMR015017,6.15236855,7.3187952,7.59241915,5.49664736,5.27611542,6.82755041,5.79560947,5.82314157,4.51762724
Pantanaw,ပန်းတနော်,MMR017020,6.45282269,7.09247398,5.45546627,4.86993361,3.52389073,6.19324493,6.03422165,5.8048954,5.19057131
